City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,-54.8,-68.3,58.66,44,75,16.11,broken clouds
1,Cayenne,GF,4.9333,-52.3333,84.24,70,40,13.8,scattered clouds
2,Lamu,KE,-2.2717,40.902,80.82,85,98,8.7,overcast clouds
3,Lebu,CL,-37.6167,-73.65,59.54,59,0,17.13,clear sky
4,Avarua,CK,-21.2078,-159.775,78.85,89,75,11.5,broken clouds
5,Punta Arenas,CL,-53.15,-70.9167,53.71,54,75,21.85,broken clouds
6,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,83,75,21.85,broken clouds
7,Hit,IQ,33.6416,42.8251,62.98,56,0,7.54,clear sky
8,Camacha,PT,33.0833,-16.3333,62.02,82,40,19.57,light intensity drizzle
9,Linjiang,CN,41.8069,126.9078,4.12,88,3,2.73,clear sky
10,Saint-Pierre,RE,-21.3393,55.4781,80.56,69,0,3.44,clear sky
11,Katangli,RU,51.7102,143.2326,-12.19,97,66,10.36,broken clouds
12,Antofagasta,CL,-23.65,-70.4,67.28,66,5,8.66,clear sky
13,Atuona,PF,-9.8,-139.0333,77.95,76,26,20.49,scattered clouds
14,Salalah,OM,17.0151,54.0924,74.52,72,0,2.19,clear sky
15,Waitati,NZ,-45.75,170.5667,47.8,69,36,11.52,scattered clouds
16,Cabo San Lucas,MX,22.8909,-109.9124,83.61,72,20,5.75,few clouds
17,Krasnyy Yar,RU,46.5331,48.3456,21.13,41,3,8.48,clear sky
18,Severo-Kurilsk,RU,50.6789,156.125,25.79,63,85,12.53,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,50.49,93,75,5.59,broken clouds
20,Ucluelet,CA,48.9329,-125.5528,32.31,91,40,4.38,scattered clouds
21,New Norfolk,AU,-42.7826,147.0587,51.3,69,75,2.28,broken clouds
22,Kargopol,RU,61.5071,38.9456,11.95,96,100,2.66,overcast clouds
23,Cherskiy,RU,68.75,161.3,-8.39,98,100,8.28,light snow
24,Vaini,TO,-21.2,-175.2,77.16,94,20,0.0,few clouds
25,Busselton,AU,-33.65,115.3333,53.08,92,1,7.23,clear sky
26,Kogon,UZ,39.7228,64.5517,28.44,74,0,11.5,clear sky
27,Uaua,BR,-9.8414,-39.4817,82.35,56,80,11.99,moderate rain
28,Qujing,CN,25.4833,103.7833,46.54,92,72,4.0,broken clouds
29,Jamestown,US,42.097,-79.2353,31.59,76,100,11.99,mist
30,Dikson,RU,73.5069,80.5464,23.79,95,100,18.92,light snow
31,Camenca,MD,48.0319,28.6978,32.68,76,100,5.3,overcast clouds
32,Jos,NG,9.9167,8.9,69.13,30,40,4.9,scattered clouds
33,Tiksi,RU,71.6872,128.8694,-10.86,96,100,12.75,overcast clouds
34,Bichena,ET,10.45,38.2,54.91,26,100,6.46,overcast clouds
35,Nemuro,JP,43.3236,145.575,28.49,47,28,15.73,scattered clouds
36,Hithadhoo,MV,-0.6,73.0833,81.36,66,67,6.49,broken clouds
37,Saurimo,AO,-9.6608,20.3916,66.06,97,100,3.85,moderate rain
38,Hilo,US,19.7297,-155.09,80.28,86,100,3.0,overcast clouds
39,Yellowknife,CA,62.456,-114.3525,-19.68,76,75,3.44,broken clouds
40,Nsanje,MW,-16.92,35.262,76.33,51,68,1.88,broken clouds
41,Adrar,MR,20.5022,-10.0711,76.78,13,5,8.32,clear sky
42,Victoria,HK,22.2855,114.1577,61.25,75,92,13.0,overcast clouds
43,Rikitea,PF,-23.1203,-134.9692,74.17,74,80,10.6,broken clouds
44,Amposta,ES,40.7131,0.581,52.23,73,65,6.76,broken clouds
45,Karasburg,NA,-28.0167,18.75,77.56,30,76,22.06,broken clouds
46,Kapaa,US,22.0752,-159.319,73.72,87,75,6.91,broken clouds
47,Sterling,US,39.0062,-77.4286,45.52,41,20,15.01,few clouds
48,Tasiilaq,GL,65.6145,-37.6368,41.16,83,99,1.9,light rain
49,Hambantota,LK,6.1241,81.1185,76.82,88,68,8.28,broken clouds
50,Hermanus,ZA,-34.4187,19.2345,67.8,89,67,7.36,broken clouds
51,Byron Bay,AU,-28.65,153.6167,60.94,90,100,20.56,light rain
52,Cape Town,ZA,-33.9258,18.4232,71.28,73,40,13.8,scattered clouds
53,Valdivia,CL,-39.8142,-73.2459,69.89,34,0,5.99,clear sky
54,Saskylakh,RU,71.9167,114.0833,-26.37,100,100,4.38,overcast clouds
55,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,89,95,21.12,light rain
56,Grants Pass,US,42.439,-123.3284,42.58,87,100,10.36,mist
57,Cabedelo,BR,-6.9811,-34.8339,84.87,63,57,14.54,broken clouds
58,Bredasdorp,ZA,-34.5322,20.0403,66.09,81,61,8.41,broken clouds
59,Qaanaaq,GL,77.484,-69.3632,-26.46,83,8,7.02,clear sky
60,Dezful,IR,32.3811,48.4058,70.54,48,3,3.74,clear sky
61,Taulov,DK,55.5458,9.6155,39.34,91,95,8.72,overcast clouds
62,Kihei,US,20.785,-156.4656,76.84,86,40,4.61,scattered clouds
63,Mecca,SA,21.4267,39.8261,79.16,67,50,7.85,scattered clouds
64,Taoudenni,ML,22.6783,-3.9836,72.97,10,82,6.4,broken clouds
65,Izazi,TZ,-7.2,35.7333,80.8,44,94,4.61,overcast clouds
66,Havoysund,NO,70.9963,24.6622,37.63,91,100,9.8,overcast clouds
67,Lompoc,US,34.6391,-120.4579,57.69,75,100,6.91,overcast clouds
68,Katima Mulilo,NA,-17.5,24.2667,76.66,23,0,6.62,clear sky
69,Katsuura,JP,35.1333,140.3,52.5,83,98,10.42,overcast clouds
70,Carnarvon,AU,-24.8667,113.6333,68.81,78,2,16.96,clear sky
71,Saint-Augustin,CA,51.226,-58.6502,40.12,98,100,32.95,moderate rain
72,Kondoa,TZ,-4.9,35.7833,69.53,54,66,7.23,broken clouds
73,Souillac,MU,-20.5167,57.5167,75.58,78,20,3.44,few clouds
74,Mar Del Plata,AR,-38.0023,-57.5575,68.83,83,75,19.57,broken clouds
75,Kropotkin,RU,45.4375,40.5756,38.59,57,100,23.64,overcast clouds
76,Hobart,AU,-42.8794,147.3294,51.66,83,100,4.61,overcast clouds
77,Scarborough,GB,54.2797,-0.4044,41.32,92,83,1.01,broken clouds
78,Praia,CV,14.9215,-23.5087,75.36,61,57,16.98,broken clouds
79,Cape Canaveral,US,28.4058,-80.6048,79.09,57,0,16.11,clear sky
80,Kiunga,PG,-6.1219,141.2906,72.79,99,100,3.69,overcast clouds
81,Bethel,US,41.3712,-73.414,42.19,50,20,13.8,few clouds
82,San Patricio,US,28.017,-97.5169,60.85,67,38,10.18,scattered clouds
83,Palmer,US,42.1584,-72.3287,41.5,43,75,13.8,broken clouds
84,Maragogi,BR,-9.0122,-35.2225,82.56,65,61,14.41,broken clouds
85,Alice Springs,AU,-23.7,133.8833,58.55,51,13,0.0,few clouds
86,Alofi,NU,-19.0595,-169.9187,76.89,100,73,1.14,broken clouds
87,Albany,US,42.6001,-73.9662,38.39,51,25,5.01,scattered clouds
88,Vila,PT,42.0304,-8.1588,40.69,65,0,3.74,clear sky
89,Talaya,RU,61.3833,152.75,-23.39,100,100,1.5,overcast clouds
90,Faanui,PF,-16.4833,-151.75,80.15,76,29,15.86,scattered clouds
91,Kungurtug,RU,50.5994,97.5228,-15.09,96,71,1.16,broken clouds
92,Port Alfred,ZA,-33.5906,26.891,67.17,91,42,1.99,scattered clouds
93,Jitra,MY,6.2681,100.4217,76.89,78,40,3.44,moderate rain
94,Tarauaca,BR,-8.1614,-70.7656,90.12,50,97,6.35,overcast clouds
95,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,81,8.99,broken clouds
96,Machiques,VE,10.0644,-72.545,84.2,64,10,10.18,clear sky
97,Alekseyevskaya,RU,50.2896,42.1845,19.81,67,84,8.46,broken clouds
98,Mao,ES,39.8885,4.2658,52.36,82,20,5.75,few clouds
99,Saint-Philippe,RE,-21.3585,55.7679,74.79,78,49,7.4,scattered clouds
100,Kruisfontein,ZA,-34.0033,24.7314,66.88,82,26,3.13,scattered clouds
101,Bonoua,CI,5.2741,-3.595,82.02,77,90,5.23,overcast clouds
102,Butaritari,KI,3.0707,172.7902,80.33,80,25,12.75,light rain
103,Irituia,BR,-1.7711,-47.4381,87.28,59,88,4.92,overcast clouds
104,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,84,100,3.44,light snow
105,Banjarmasin,ID,-3.3244,114.591,77.14,95,100,1.34,overcast clouds
106,Cessnock,AU,-32.8333,151.35,65.14,87,100,4.09,overcast clouds
107,Susanville,US,40.4163,-120.653,34.81,95,100,5.75,overcast clouds
108,Bilibino,RU,68.0546,166.4372,13.91,95,88,0.96,light snow
109,Boa Vista,BR,2.8197,-60.6733,87.78,51,40,14.97,scattered clouds
110,Clarence Town,AU,-32.5833,151.7833,65.86,89,100,2.84,overcast clouds
111,Okhotsk,RU,59.3833,143.3,-4.11,99,100,8.52,overcast clouds
112,Roald,NO,62.5833,6.1333,42.75,81,0,12.66,clear sky
113,Flinders,AU,-34.5833,150.8552,63.18,84,79,5.99,broken clouds
114,Bluff,NZ,-46.6,168.3333,50.81,69,58,19.24,broken clouds
115,Vao,NC,-22.6667,167.4833,78.31,86,96,18.01,overcast clouds
116,Chokurdakh,RU,70.6333,147.9167,0.84,98,100,3.58,light snow
117,East London,ZA,-33.0153,27.9116,73.13,89,26,4.76,scattered clouds
118,Westport,US,41.1415,-73.3579,43.45,46,75,15.01,broken clouds
119,Falavarjan,IR,32.5553,51.5097,47.41,37,52,3.38,broken clouds
120,Fatezh,RU,52.0891,35.8632,22.98,71,100,12.59,overcast clouds
121,Libertador General San Martin,AR,-23.8064,-64.7876,78.12,66,96,5.26,overcast clouds
122,Nisia Floresta,BR,-6.0911,-35.2086,85.01,61,63,13.13,broken clouds
123,Baykit,RU,61.67,96.37,-23.6,98,49,2.93,scattered clouds
124,Livingstonia,MW,-10.606,34.1063,64.36,82,93,1.14,overcast clouds
125,Nouadhibou,MR,20.931,-17.0347,67.98,73,77,17.27,broken clouds
126,Veraval,IN,20.9,70.3667,75.13,65,0,4.14,clear sky
127,Aitape,PG,-3.1374,142.3475,77.34,87,100,3.91,overcast clouds
128,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,83,75,12.66,broken clouds
129,Narsaq,GL,60.9167,-46.05,26.82,87,26,5.44,scattered clouds
130,Beringovskiy,RU,63.05,179.3167,35.11,99,100,15.19,overcast clouds
131,Upernavik,GL,72.7868,-56.1549,2.41,94,100,20.54,overcast clouds
132,Birin,NP,26.8865,88.0718,49.87,69,0,5.01,clear sky
133,Minden,DE,52.2833,8.9167,36.95,93,100,8.05,mist
134,Port Elizabeth,ZA,-33.918,25.5701,69.1,91,20,6.91,few clouds
135,Beira,MZ,-19.8436,34.8389,75.34,79,92,10.07,light rain
136,Mayo,US,38.8876,-76.5119,45.12,42,0,16.11,clear sky
137,Cervo,ES,43.6702,-7.4101,55.96,78,16,18.99,few clouds
138,Dongsheng,CN,39.8161,109.9776,13.03,17,42,15.77,scattered clouds
139,Sioux Lookout,CA,50.1001,-91.917,15.87,79,100,6.91,overcast clouds
140,Aykhal,RU,66.0,111.5,-23.1,100,100,8.63,overcast clouds
141,Quesnel,CA,52.9999,-122.5029,-14.3,76,100,0.0,overcast clouds
142,Medvedevo,RU,56.6339,47.804,4.71,98,67,2.64,broken clouds
143,Laguna,US,38.421,-121.4238,50.09,91,100,16.11,mist
144,Begamganj,IN,23.6,78.3333,60.44,47,0,4.27,clear sky
145,Vestmannaeyjar,IS,63.4427,-20.2734,43.79,81,75,21.85,broken clouds
146,Torbay,CA,47.6666,-52.7314,41.4,87,75,25.32,broken clouds
147,Porangatu,BR,-13.4408,-49.1486,83.08,67,79,2.13,broken clouds
148,Stornoway,GB,58.2093,-6.3865,53.56,90,75,20.71,broken clouds
149,Kirakira,SB,-10.4544,161.9205,79.81,81,98,3.4,heavy intensity rain
150,Yar-Sale,RU,66.8333,70.8333,-6.11,93,17,8.77,few clouds
151,Sitka,US,57.0531,-135.33,33.69,75,100,12.66,light snow
152,Bathsheba,BB,13.2167,-59.5167,86.61,62,20,21.85,few clouds
153,Leh,IN,34.1667,77.5833,26.11,37,100,3.27,overcast clouds
154,Berlevag,NO,70.8578,29.0864,33.8,86,100,12.66,overcast clouds
155,Hasaki,JP,35.7333,140.8333,45.28,84,100,16.53,overcast clouds
156,Brae,GB,60.3964,-1.353,47.77,91,100,25.3,light rain
157,Tabuk,PH,17.4189,121.4443,72.07,91,33,3.2,scattered clouds
158,Srednekolymsk,RU,67.45,153.6833,-15.77,96,100,17.56,light snow
159,Pacific Grove,US,36.6177,-121.9166,58.33,80,100,21.99,light rain
160,Meulaboh,ID,4.1363,96.1285,75.56,90,100,3.13,overcast clouds
161,Chuy,UY,-33.6971,-53.4616,78.31,71,74,10.45,broken clouds
162,Guozhen,CN,34.3659,107.359,25.43,53,30,1.77,scattered clouds
163,San Julian,MX,21.0167,-102.1667,70.29,41,63,11.07,broken clouds
164,Lebedyn,UA,50.5852,34.4849,29.7,43,100,14.14,overcast clouds
165,Waipawa,NZ,-41.4122,175.5153,50.7,77,66,2.37,broken clouds
166,Jacareacanga,BR,-6.2222,-57.7528,84.7,70,100,1.59,overcast clouds
167,Chumikan,RU,54.7183,135.315,-11.33,78,11,23.35,few clouds
168,Dawei,MM,14.0833,98.2,74.91,91,100,4.38,overcast clouds
169,Kodiak,US,57.79,-152.4072,38.71,48,0,14.97,clear sky
170,Pevek,RU,69.7008,170.3133,29.97,76,87,24.83,overcast clouds
171,Umm Kaddadah,SD,13.6017,26.6876,79.25,19,97,14.03,overcast clouds
172,Mahebourg,MU,-20.4081,57.7,75.49,78,20,3.44,few clouds
173,Provideniya,RU,64.3833,-173.3,30.67,99,94,6.6,snow
174,Challans,FR,46.8436,-1.8749,39.96,87,1,9.69,clear sky
175,Phayao,TH,19.25,100.25,68.45,98,77,2.21,broken clouds
176,Tuatapere,NZ,-46.1333,167.6833,43.75,88,84,7.83,broken clouds
177,Ribeira Grande,PT,38.5167,-28.7,59.4,82,40,18.01,light rain
178,Castro,BR,-24.7911,-50.0119,73.92,78,22,8.86,few clouds
179,Dauphin,CA,51.1494,-100.0502,8.74,72,75,3.44,broken clouds
180,Bengkulu,ID,-3.8004,102.2655,74.95,90,100,3.02,heavy intensity rain
181,Poum,NC,-20.2333,164.0167,81.14,85,97,12.55,overcast clouds
182,Ilulissat,GL,69.2167,-51.1,17.62,73,75,12.66,light snow
183,Henties Bay,NA,-22.116,14.2845,62.2,87,4,13.71,clear sky
184,Horsham,GB,51.064,-0.3272,44.26,93,100,6.91,fog
185,Bambous Virieux,MU,-20.3428,57.7575,75.45,78,20,3.44,few clouds
186,Qingyuan,CN,23.7,113.0333,48.18,73,99,9.28,overcast clouds
187,Husavik,IS,66.0449,-17.3389,36.43,71,1,18.57,clear sky
188,Chapais,CA,49.7834,-74.8492,20.98,88,100,19.64,light snow
189,Omboue,GA,-1.5746,9.2618,78.53,88,100,7.11,light rain
190,Cockburn Town,TC,21.4612,-71.1419,80.06,68,1,17.69,clear sky
191,Lagoa,PT,39.05,-27.9833,59.13,68,59,30.02,broken clouds
192,Atasu,KZ,48.6814,71.6433,14.05,96,100,4.34,light snow
193,Markovo,RU,57.3206,107.0881,-9.33,96,100,3.85,overcast clouds
194,Kaitangata,NZ,-46.2817,169.8464,46.58,70,28,10.67,scattered clouds
195,Tankara,IN,22.6667,70.7333,72.63,34,0,9.4,clear sky
196,Zhigansk,RU,66.7697,123.3711,-12.05,99,100,3.62,overcast clouds
197,Klaksvik,FO,62.2266,-6.589,47.32,96,100,7.36,light rain
198,Nabire,ID,-3.3667,135.4833,75.76,89,100,1.36,overcast clouds
199,Port-Gentil,GA,-0.7193,8.7815,80.56,83,98,9.91,light rain
200,Norman Wells,CA,65.282,-126.8329,-3.96,77,100,0.0,light snow
201,Magadi,IN,12.9667,77.2333,69.96,86,61,7.4,broken clouds
202,Grand Gaube,MU,-20.0064,57.6608,75.6,70,33,1.99,scattered clouds
203,Sao Filipe,CV,14.8961,-24.4956,75.52,64,70,9.46,broken clouds
204,Shizunai,JP,42.3339,142.3669,31.1,59,100,22.62,overcast clouds
205,Kaeo,NZ,-35.1,173.7833,56.32,94,96,3.6,overcast clouds
206,Pierre,US,44.3683,-100.351,39.85,44,0,11.99,clear sky
207,Sobolevo,RU,54.4299,31.8996,19.33,88,99,9.28,overcast clouds
208,Geraldton,AU,-28.7667,114.6,61.21,77,4,3.44,clear sky
209,Uruguaiana,BR,-29.7547,-57.0883,89.53,45,75,11.5,broken clouds
210,Nikolskoye,RU,59.7035,30.7861,17.8,87,100,2.77,overcast clouds
211,Lapeer,US,43.0514,-83.3188,35.26,64,75,8.05,broken clouds
212,Beyneu,KZ,45.3167,55.2,24.76,29,0,5.82,clear sky
213,Loreto,MX,22.2667,-101.9667,65.41,54,68,10.33,broken clouds
214,Conceicao Do Araguaia,BR,-8.2578,-49.2647,82.85,76,97,3.13,overcast clouds
215,Vila Franca Do Campo,PT,37.7167,-25.4333,63.19,75,44,7.18,scattered clouds
216,Zhangjiakou,CN,40.81,114.8794,12.0,26,0,1.03,clear sky
217,Russell,US,32.3502,-85.1999,58.41,28,0,5.75,clear sky
218,Arima,TT,10.6333,-61.2833,87.33,56,40,11.5,scattered clouds
219,Vadinsk,RU,53.6916,43.0574,15.93,89,70,5.55,broken clouds
220,Calderitas,MX,18.55,-88.25,87.91,66,75,5.75,broken clouds
221,Kahului,US,20.8947,-156.47,77.85,85,40,10.0,scattered clouds
222,Ancud,CL,-41.8697,-73.8203,54.86,57,78,9.35,broken clouds
223,Misratah,LY,32.3754,15.0925,63.34,56,91,0.98,overcast clouds
224,Mezen,RU,65.8522,44.24,25.09,96,100,5.5,light snow
225,Purpe,RU,64.4803,76.6897,-7.29,87,95,9.4,overcast clouds
226,Saint-Remi,CA,45.2668,-73.6159,34.88,59,99,16.11,overcast clouds
227,Xining,CN,36.6167,101.7667,25.43,34,30,0.45,scattered clouds
228,Tingo Maria,PE,-9.2895,-76.0088,79.11,83,40,0.0,scattered clouds
229,Longyearbyen,SJ,78.2186,15.6401,37.24,81,75,11.5,light intensity shower rain
230,Valreas,FR,44.3837,4.9908,43.61,87,18,7.02,few clouds
